Date,Time,MMSI,SPEED,Longitude,Latitude,COG
2021-04-19,14:51:08,212054000,9.8,120.29696,31.95891,243
2021-04-19,14:51:30,212054000,9.8,120.29588,31.95851,241
2021-04-19,14:51:49,212054000,9.8,120.2950133,31.95816,240
2021-04-19,14:52:09,212054000,9.8,120.2940667,31.95773,240
2021-04-19,14:52:30,212054000,9.8,120.2930133,31.95726,240
2021-04-19,14:52:49,212054000,9.9,120.2920667,31.95681,240
2021-04-19,14:53:09,212054000,9.9,120.2911067,31.95638,240
2021-04-19,14:53:30,212054000,9.9,120.2902,31.95598,240
2021-04-19,14:53:49,212054000,9.9,120.2898,31.95583,240
2021-04-19,14:54:09,212054000,9.9,120.2878133,31.9549,240
2021-04-19,14:54:30,212054000,9.8,120.2872,31.9546,240
2021-04-19,14:54:49,212054000,9.9,120.28636,31.95423,240
2021-04-19,14:55:09,212054000,10,120.28532,31.95373,241
2021-04-19,14:55:30,212054000,9.9,120.2844533,31.95331,243
2021-04-19,14:55:59,212054000,10.1,120.28308,31.95271,243
2021-04-19,14:56:20,212054000,10.1,120.2821067,31.95233,243
2021-04-19,14:56:38,212054000,9.9,120.2810933,31.95193,243
2021-04-19,14:56:59,212054000,9.9,120.2800667,31.95153,243
2021-04-19,14:57:20,212054000,9.9,120.27912,31.95116,243
2021-04-19,14:57:38,212054000,9.7,120.27828,31.95081,243
2021-04-19,14:57:59,212054000,9.6,120.27724,31.9504,243
2021-04-19,14:58:20,212054000,9.5,120.27628,31.95005,242
2021-04-19,14:58:38,212054000,9.3,120.2753067,31.94968,240
2021-04-19,14:58:59,212054000,9.2,120.27448,31.9493,240
2021-04-19,14:59:28,212054000,9,120.2731867,31.9487,240
2021-04-19,14:59:49,212054000,8.9,120.2723067,31.94826,240
2021-04-19,15:00:10,212054000,8.8,120.27144,31.94785,240
2021-04-19,15:00:28,212054000,8.7,120.2706933,31.94748,240
2021-04-19,15:00:50,212054000,8.7,120.2697733,31.94703,240
2021-04-19,15:01:10,212054000,8.5,120.2689733,31.94658,240
2021-04-19,15:01:28,212054000,8.4,120.2682533,31.94628,240
2021-04-19,15:01:50,212054000,8.5,120.2674133,31.94586,240
2021-04-19,15:02:10,212054000,8.4,120.2666533,31.9455,240
2021-04-19,15:02:28,212054000,8.3,120.2658933,31.94513,240
2021-04-19,15:02:50,212054000,8.4,120.26508,31.94466,242
2021-04-19,15:03:10,212054000,8.3,120.2642933,31.9443,242
2021-04-19,15:03:28,212054000,8.2,120.26348,31.94395,242
2021-04-19,15:03:50,212054000,8.2,120.26268,31.9436,242
2021-04-19,15:04:10,212054000,8.2,120.2618133,31.9432,243
2021-04-19,15:04:28,212054000,8.1,120.2611067,31.9429,243
2021-04-19,15:04:48,212054000,8,120.26036,31.94256,242
2021-04-19,15:05:10,212054000,8,120.2594533,31.9422,242
2021-04-19,15:05:28,212054000,7.9,120.25876,31.94188,242
2021-04-19,15:05:48,212054000,7.9,120.25804,31.94155,242
2021-04-19,15:06:08,212054000,7.8,120.2573067,31.94118,243
2021-04-19,15:06:28,212054000,7.7,120.25664,31.94078,245
2021-04-19,15:06:48,212054000,7.7,120.2558,31.94041,245
2021-04-19,15:07:08,212054000,7.7,120.2550533,31.94006,247
2021-04-19,15:07:28,212054000,7.7,120.2543067,31.93973,248
2021-04-19,15:07:48,212054000,7.8,120.2536133,31.93948,247
2021-04-19,15:08:08,212054000,7.6,120.2529067,31.93918,247
2021-04-19,15:08:28,212054000,7.5,120.25208,31.93885,247
2021-04-19,15:08:48,212054000,7.5,120.2514133,31.93858,247
2021-04-19,15:09:08,212054000,7.5,120.25064,31.93828,247
2021-04-19,15:09:28,212054000,7.5,120.2498533,31.93796,248
2021-04-19,15:09:48,212054000,7.5,120.24916,31.93765,250
2021-04-19,15:10:08,212054000,7.6,120.2484133,31.93736,250
2021-04-19,15:10:28,212054000,7.6,120.2476,31.93708,250
2021-04-19,15:10:48,212054000,7.8,120.2468667,31.93681,252
2021-04-19,15:11:08,212054000,7.9,120.2460667,31.9365,254
